qa_index,query,ground_truth_answer,answer_type,confidence_hint,original_chunk_ids,final_chunk_ids,top_5_candidates,expansion_count
30,What are the stages of development before a baby is born?,"Prenatal development is divided into three periods. The germinal period lasts about two weeks from conception to implantation. The embryonic period, from the third to the eighth week, is when the major structures of the body form. Finally, the fetal period lasts from the ninth week until birth, during which all the structures continue to develop.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,1. CHDV-100-OER-Textbook-updatedJuly2020_59,11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_19 (sim: 0.582); 1. CHDV-100-OER-Textbook-updatedJuly2020_62 (sim: 0.568); 11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_312 (sim: 0.564); 21. Paper_19_31 (sim: 0.564); 11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_20 (sim: 0.553),0
95,What is the most significant factor I can influence for my child's development?,"Of all the factors that can be changed to influence your child's development, the most important one is the quality of parenting they receive. While many things affect a child, the way you parent has a powerful and direct impact on their growth and well-being.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,3. L-G-0011992329-0035354927_14,11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_93 (sim: 0.606); 3. L-G-0011992329-0035354927_8 (sim: 0.598); 31. ece127infanttoddlerdevelopmentandcare_583 (sim: 0.580); 31. ece127infanttoddlerdevelopmentandcare_588 (sim: 0.570); 23. FECP-M3-Understanding-SE-Development-in-Young-Children_19 (sim: 0.568),0
223,What are some simple activities to support my baby's emotional development from 4 to 7 months?,"During this stage, you can place a mirror in front of your baby so they can see themselves, which helps build self-awareness. It's also wonderful to praise your child and show pleasure in their coos and giggles. You can start telling simple, animated finger stories and telling them the names of people, things, and parts of their body to build connection.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,23. FECP-M3-Understanding-SE-Development-in-Young-Children_6,23. FECP-M3-Understanding-SE-Development-in-Young-Children_6 (sim: 0.706); 23. FECP-M3-Understanding-SE-Development-in-Young-Children_8 (sim: 0.656); 49. parent child interaction_14 (sim: 0.646); 31. ece127infanttoddlerdevelopmentandcare_696 (sim: 0.645); 31. ece127infanttoddlerdevelopmentandcare_540 (sim: 0.625),0
238,What is the 'circle of five' strategy for helping my child's friendships?,"The 'circle of five' is a strategy focused on helping your child invest in five people they truly connect with. The goal is for your child to share thoughts and feelings with these five people, who can be family members, friends, or teachers, to build strong, meaningful, and positive relationships.",paraphrase,medium,1. CHDV-100-OER-Textbook-updatedJuly2020_4,24. ISP-Resource-Social-and-Emotional-Development-FA-web_5,24. ISP-Resource-Social-and-Emotional-Development-FA-web_5 (sim: 0.728); 1. CHDV-100-OER-Textbook-updatedJuly2020_449 (sim: 0.548); 24. ISP-Resource-Social-and-Emotional-Development-FA-web_9 (sim: 0.547); 51. practical-approaches-to-behaviour-management-in-the-classroom-a-handbook-for-classroom-teachers-in-primary-schools_164 (sim: 0.533); 23. FECP-M3-Understanding-SE-Development-in-Young-Children_12 (sim: 0.519),0
517,How does the arrival of a new baby affect my older child's behavior?,"The birth of a new sibling can be a developmental crisis for many children. It changes the home environment and parental attention, which can lead to jealousy, behavioral regressions, or tantrums. Skills that were newly acquired right before the baby's arrival, such as toilet training, are more likely to regress. The change in the mother-child relationship, with decreased attention and affection for the older child, is thought to be a primary reason for the increase in behavior problems.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,52. Behavior-Management-in-Dentistry-for-Children_106,52. Behavior-Management-in-Dentistry-for-Children_106 (sim: 0.585); 1. CHDV-100-OER-Textbook-updatedJuly2020_189 (sim: 0.504); 23. FECP-M3-Understanding-SE-Development-in-Young-Children_13 (sim: 0.500); 52. Behavior-Management-in-Dentistry-for-Children_107 (sim: 0.493); 31. ece127infanttoddlerdevelopmentandcare_521 (sim: 0.490),0
27,What is Sickle Cell Disease?,"Sickle Cell Disease is a condition where the red blood cells are shaped like a sickle, which affects their ability to transport oxygen. It is a recessive disorder, meaning a child must inherit the gene from both parents to have the condition. If the gene is inherited from just one parent, the person is a carrier but does not have the disease.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,1. CHDV-100-OER-Textbook-updatedJuly2020_55,1. CHDV-100-OER-Textbook-updatedJuly2020_55 (sim: 0.381); 1. CHDV-100-OER-Textbook-updatedJuly2020_73 (sim: 0.335); 1. CHDV-100-OER-Textbook-updatedJuly2020_56 (sim: 0.314); 1. CHDV-100-OER-Textbook-updatedJuly2020_168 (sim: 0.302); 11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_77 (sim: 0.274),0
203,Why are school health programs important for children?,"Good health supports successful learning. Research shows that healthy children have higher daily school attendance, learn better, and take full advantage of educational opportunities. School health programs are important because they help detect health problems early, prevent communicable diseases, and promote healthy attitudes and behaviors among students.",paraphrase,medium,1. CHDV-100-OER-Textbook-updatedJuly2020_4,21. Paper_19_112,21. Paper_19_112 (sim: 0.655); 21. Paper_19_118 (sim: 0.610); 21. Paper_19_113 (sim: 0.592); 31. ece127infanttoddlerdevelopmentandcare_725 (sim: 0.555); 1. CHDV-100-OER-Textbook-updatedJuly2020_340 (sim: 0.553),0
429,How can I expect to communicate with my child's preschool teacher?,"Communication can happen in many ways. This includes informal chats when you drop off or pick up your child, regularly scheduled parent-teacher meetings, and sometimes even home visits if needed. The school might also share small video programs or invite families to events like a children's fair to keep you connected and involved.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,36. 1642572098-preschool_pdf_99,26. parenting-handbook-Final-Eversion_107 (sim: 0.528); 3. L-G-0011992329-0035354927_26 (sim: 0.496); 25. Parenting20Love20Logic_20Children2020PDFDrive.com29_232 (sim: 0.491); 36. 1642572098-preschool_pdf_99 (sim: 0.488); 36. 1642572098-preschool_pdf_98 (sim: 0.487),0
225,Why are routines so important for toddlers?,"Routines are very important at this age because they help a child feel secure. When a toddler knows what to expect, it provides consistency and structure in their world. This security builds a foundation that makes it possible for them to learn how to resolve conflict, problem solve, and communicate effectively as they grow.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,23. FECP-M3-Understanding-SE-Development-in-Young-Children_7,31. ece127infanttoddlerdevelopmentandcare_860 (sim: 0.723); 31. ece127infanttoddlerdevelopmentandcare_689 (sim: 0.683); 31. ece127infanttoddlerdevelopmentandcare_690 (sim: 0.674); 31. ece127infanttoddlerdevelopmentandcare_694 (sim: 0.669); 51. practical-approaches-to-behaviour-management-in-the-classroom-a-handbook-for-classroom-teachers-in-primary-schools_18 (sim: 0.648),0
459,What does a positive parent-child interaction look like?,"Positive interactions are warm, sensitive, and responsive to what the child needs. This loving approach is combined with having clear expectations and limits, using logical consequences, and making sure the child is safe.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,49. parent child interaction_9,49. parent child interaction_9 (sim: 0.732); 49. parent child interaction_10 (sim: 0.624); 49. parent child interaction_8 (sim: 0.622); 3. L-G-0011992329-0035354927_35 (sim: 0.620); 52. Behavior-Management-in-Dentistry-for-Children_102 (sim: 0.580),0
284,What is the best way to handle an allowance for my child?,"To teach money management, provide a set allowance at the same time each week, but don't tie it to chores, as that robs them of the dignity of contributing to the family. Allow them to spend, save, or waste the money as they see fit, as long as it is not for illegal activity. The key is that when the money is gone, it's gone. Don't provide more until the next allowance day, as this is how they learn from their own economic mistakes.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,25. Parenting20Love20Logic_20Children2020PDFDrive.com29_140,25. Parenting20Love20Logic_20Children2020PDFDrive.com29_140 (sim: 0.619); 25. Parenting20Love20Logic_20Children2020PDFDrive.com29_141 (sim: 0.532); 25. Parenting20Love20Logic_20Children2020PDFDrive.com29_152 (sim: 0.438); 25. Parenting20Love20Logic_20Children2020PDFDrive.com29_112 (sim: 0.432); 51. practical-approaches-to-behaviour-management-in-the-classroom-a-handbook-for-classroom-teachers-in-primary-schools_178 (sim: 0.429),0
6,Does my child's development happen gradually or in sudden stages?,"There are different views on this. Some experts see development as a slow and gradual process, known as continuous development. Others view it as happening in distinct stages, called discontinuous development, where children have different qualities at each step. Both brain development and a child's experiences contribute to how they acquire more developed skills.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,1. CHDV-100-OER-Textbook-updatedJuly2020_9,1. CHDV-100-OER-Textbook-updatedJuly2020_9 (sim: 0.627); 11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_50 (sim: 0.604); 11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_49 (sim: 0.588); 11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_113 (sim: 0.585); 52. Behavior-Management-in-Dentistry-for-Children_35 (sim: 0.581),0
163,What is the importance of play in early childhood learning?,"Play is considered the engine of real learning for a child. It is described as the purest, most important activity at this stage of life. Far from being idle behavior, play is a purposeful activity that brings joy, freedom, and contentment. It is through play that children discover how things work, and it is seen as the source of all that is good.",paraphrase,medium,1. CHDV-100-OER-Textbook-updatedJuly2020_4,21. Paper_19_12,31. ece127infanttoddlerdevelopmentandcare_859 (sim: 0.711); 38. A Good Start - Early Childhood Development Booklet_10 (sim: 0.694); 20. Earlychildhood_28 (sim: 0.684); 51. practical-approaches-to-behaviour-management-in-the-classroom-a-handbook-for-classroom-teachers-in-primary-schools_160 (sim: 0.670); 31. ece127infanttoddlerdevelopmentandcare_524 (sim: 0.652),0
535,"What is nitrous oxide, or 'laughing gas,' and why is it used for children's dental care?","Nitrous oxide is a safe and effective gas that is inhaled through a small nose mask to help reduce mild to moderate anxiety. It is considered an invaluable tool because it works quickly, has a wide margin of safety, and its effects are rapidly reversible once the gas is turned off. It serves as a helpful addition to behavior management techniques by helping a child relax, raising their pain threshold, and enhancing communication, which makes for a more positive dental experience.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,52. Behavior-Management-in-Dentistry-for-Children_312,52. Behavior-Management-in-Dentistry-for-Children_313 (sim: 0.728); 52. Behavior-Management-in-Dentistry-for-Children_312 (sim: 0.696); 52. Behavior-Management-in-Dentistry-for-Children_320 (sim: 0.683); 52. Behavior-Management-in-Dentistry-for-Children_314 (sim: 0.677); 52. Behavior-Management-in-Dentistry-for-Children_337 (sim: 0.659),0
348,Why is my baby's head circumference measured at checkups?,"Head circumference is an important measurement because it provides a good indication of a child's brain growth and neurological development, especially in early childhood. While smaller head circumference has been associated with lower cognitive abilities in some studies, large deviations from the norm can also signal potential concerns like microcephaly or macrocephaly.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,31. ece127infanttoddlerdevelopmentandcare_75,31. ece127infanttoddlerdevelopmentandcare_75 (sim: 0.632); 31. ece127infanttoddlerdevelopmentandcare_76 (sim: 0.522); 1. CHDV-100-OER-Textbook-updatedJuly2020_94 (sim: 0.485); 31. ece127infanttoddlerdevelopmentandcare_78 (sim: 0.475); 31. ece127infanttoddlerdevelopmentandcare_77 (sim: 0.460),0
523,How should I prepare my child for their first dental visit?,"Pre-appointment contact from the dental office, such as a friendly letter or information on their website, can be very helpful. This information often provides directions on how to prepare your child in a positive way. One study showed that when mothers received a simple pre-appointment letter explaining the visit, they were better able to prepare their children, who were then more cooperative. This simple step helps reduce a parent's own apprehension, which in turn has a positive effect on the child's behavior.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,52. Behavior-Management-in-Dentistry-for-Children_158,52. Behavior-Management-in-Dentistry-for-Children_469 (sim: 0.699); 52. Behavior-Management-in-Dentistry-for-Children_158 (sim: 0.671); 52. Behavior-Management-in-Dentistry-for-Children_140 (sim: 0.659); 52. Behavior-Management-in-Dentistry-for-Children_114 (sim: 0.651); 52. Behavior-Management-in-Dentistry-for-Children_138 (sim: 0.639),0
159,Why is preschool so important for my child's brain development?,"The first four years of life are when a child's brain development is at its highest. During this time, the brain is forming crucial connections that help develop the child's ability to learn and function well. Because children can learn at such a rapid rate at this age, preschool provides the stimulating environment they need.",paraphrase,medium,1. CHDV-100-OER-Textbook-updatedJuly2020_4,21. Paper_19_4,36. 1642572098-preschool_pdf_3 (sim: 0.683); 21. Paper_19_4 (sim: 0.600); 11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_346 (sim: 0.595); 38. A Good Start - Early Childhood Development Booklet_7 (sim: 0.595); 36. 1642572098-preschool_pdf_5 (sim: 0.579),0
220,My child seems quieter and more reserved than other kids. Is that okay?,"Yes, every child has a unique temperament, and it's perfectly fine for them to have their own style. Some children are quiet and like to observe, while others are very active. The most important thing is to understand your child's individual temperament so you can have reasonable expectations and support their social-emotional growth in a way that works for them.",yesno,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,23. FECP-M3-Understanding-SE-Development-in-Young-Children_4,23. FECP-M3-Understanding-SE-Development-in-Young-Children_20 (sim: 0.510); 1. CHDV-100-OER-Textbook-updatedJuly2020_189 (sim: 0.486); 51. practical-approaches-to-behaviour-management-in-the-classroom-a-handbook-for-classroom-teachers-in-primary-schools_56 (sim: 0.484); 23. FECP-M3-Understanding-SE-Development-in-Young-Children_11 (sim: 0.483); 52. Behavior-Management-in-Dentistry-for-Children_73 (sim: 0.479),0
344,"What is a healthy birth weight, and how much weight should my baby gain in the first year?","A healthy birth weight for a full-term baby is typically between 5 pounds, 8 ounces and 8 pounds, 13 ounces. While infants may lose a little weight in the first few days, they soon enter a period of rapid growth. By about 4 months old, their birth weight has usually doubled. By their first birthday, it has often tripled, and by age two, their weight has quadrupled.",factoid,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,31. ece127infanttoddlerdevelopmentandcare_67,31. ece127infanttoddlerdevelopmentandcare_67 (sim: 0.573); 11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_150 (sim: 0.564); 1. CHDV-100-OER-Textbook-updatedJuly2020_74 (sim: 0.563); 1. CHDV-100-OER-Textbook-updatedJuly2020_101 (sim: 0.523); 1. CHDV-100-OER-Textbook-updatedJuly2020_117 (sim: 0.479),0
537,What are the common reasons for using general anesthesia for a child's dental work?,"General anesthesia may be recommended for several reasons, including: 1. For children who cannot cooperate due to a lack of emotional maturity or because of a mental, physical, or medical disability. 2. For children where local anesthesia is ineffective. 3. For children who are extremely uncooperative, fearful, or anxious. 4. For children who need significant surgical procedures. 5. When using general anesthesia may protect the child's developing psyche from a traumatic experience.",multi_step,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,52. Behavior-Management-in-Dentistry-for-Children_396; 52. Behavior-Management-in-Dentistry-for-Children_397,52. Behavior-Management-in-Dentistry-for-Children_397 (sim: 0.721); 52. Behavior-Management-in-Dentistry-for-Children_421 (sim: 0.719); 52. Behavior-Management-in-Dentistry-for-Children_396 (sim: 0.703); 52. Behavior-Management-in-Dentistry-for-Children_420 (sim: 0.674); 52. Behavior-Management-in-Dentistry-for-Children_394 (sim: 0.673),1
94,What is 'emerging adulthood'?,Emerging adulthood is a relatively new term for a period of development from approximately 18 years old to the mid- to late-20s. It's an in-between time where individuals have left the dependency of childhood and adolescence but have not yet taken on the full responsibilities of adulthood. It is a time when many different directions in life remain possible and little about the future is decided for certain.,paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,1. CHDV-100-OER-Textbook-updatedJuly2020_564,1. CHDV-100-OER-Textbook-updatedJuly2020_564 (sim: 0.741); 11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_433 (sim: 0.466); 1. CHDV-100-OER-Textbook-updatedJuly2020_458 (sim: 0.457); 11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_432 (sim: 0.442); 1. CHDV-100-OER-Textbook-updatedJuly2020_460 (sim: 0.438),0
389,Can my child's temperament influence how they learn language?,"Yes, a child's temperament can play a role in their language acquisition. For example, a child's ability to control their attention and self-regulate can either support or inhibit their language development. Children who show better attention skills and more positive emotions tend to have better language comprehension and larger vocabularies, possibly because these traits encourage more positive social exchanges with caregivers where language learning happens.",yesno,medium,1. CHDV-100-OER-Textbook-updatedJuly2020_4,31. ece127infanttoddlerdevelopmentandcare_574,31. ece127infanttoddlerdevelopmentandcare_574 (sim: 0.758); 31. ece127infanttoddlerdevelopmentandcare_575 (sim: 0.738); 31. ece127infanttoddlerdevelopmentandcare_579 (sim: 0.643); 31. ece127infanttoddlerdevelopmentandcare_355 (sim: 0.614); 31. ece127infanttoddlerdevelopmentandcare_349 (sim: 0.608),0
99,What are my most basic responsibilities as a parent?,"Your core responsibilities include providing for your child's physical care and survival needs, such as food, warmth, shelter, and clothing. It is also essential to provide love and affection and to ensure that your child is kept safe and that risks of harm are minimized.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,3. L-G-0011992329-0035354927_19,3. L-G-0011992329-0035354927_28 (sim: 0.616); 3. L-G-0011992329-0035354927_19 (sim: 0.580); 3. L-G-0011992329-0035354927_18 (sim: 0.552); 31. ece127infanttoddlerdevelopmentandcare_589 (sim: 0.545); 3. L-G-0011992329-0035354927_31 (sim: 0.529),0
183,What are some of the motor skills I can expect to see in my 3-year-old?,"A 3-year-old can typically manipulate play materials, ride a tricycle, stand on one foot, and jump upward. They can also alternate their feet when going upstairs and are able to feed themselves with very little spilling. Their finer motor skills are also developing, allowing them to fashion objects with clay.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,21. Paper_19_55,1. CHDV-100-OER-Textbook-updatedJuly2020_221 (sim: 0.641); 21. Paper_19_54 (sim: 0.603); 31. ece127infanttoddlerdevelopmentandcare_177 (sim: 0.593); 11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_225 (sim: 0.589); 21. Paper_19_55 (sim: 0.581),0
433,What is Early Childhood Development (ECD) all about?,"Early Childhood Development, or ECD, is a holistic approach that addresses all the needs of a child from the time they are conceived until they are eight years old. It's about more than just preschool; it focuses on ensuring children are healthy, well-nourished, and able to bond with their caregivers, communicate well with others, and be ready to start school.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,38. A Good Start - Early Childhood Development Booklet_2,38. A Good Start - Early Childhood Development Booklet_17 (sim: 0.637); 20. Earlychildhood_20 (sim: 0.613); 20. Earlychildhood_18 (sim: 0.602); 38. A Good Start - Early Childhood Development Booklet_2 (sim: 0.601); 38. A Good Start - Early Childhood Development Booklet_5 (sim: 0.601),0
176,What are the most basic needs for a child between birth and three years old?,"For children from birth to three years, basic needs include adequate nutrition, health care, immunizations, and protection from physical danger. They also have crucial emotional and developmental needs, such as forming an attachment with an adult, having opportunities to explore their world through their senses, and receiving support as they acquire new skills.",paraphrase,medium,1. CHDV-100-OER-Textbook-updatedJuly2020_4,21. Paper_19_42,3. L-G-0011992329-0035354927_19 (sim: 0.617); 21. Paper_19_47 (sim: 0.604); 21. Paper_19_42 (sim: 0.588); 21. Paper_19_41 (sim: 0.582); 38. A Good Start - Early Childhood Development Booklet_8 (sim: 0.574),0
309,How can I manage my child's use of gadgets?,"Start by being a role model with your own screen time. Set clear rules and create gadget-free zones like the dining room. Offer fun diversions like outdoor play, board games, or art supplies. It's also important to monitor the content they are viewing and have open conversations with them about being safe online.",paraphrase,medium,1. CHDV-100-OER-Textbook-updatedJuly2020_4,26. parenting-handbook-Final-Eversion_53,26. parenting-handbook-Final-Eversion_53 (sim: 0.749); 26. parenting-handbook-Final-Eversion_77 (sim: 0.665); 26. parenting-handbook-Final-Eversion_51 (sim: 0.613); 26. parenting-handbook-Final-Eversion_52 (sim: 0.558); 25. Parenting20Love20Logic_20Children2020PDFDrive.com29_236 (sim: 0.485),0
135,Why is early childhood education so important in today's world?,"Research has shown that children who start primary school without any prior early education are often not prepared for it, both physically and mentally. Early childhood education serves as a necessary stage of readiness for formal schooling. This understanding has led to a widespread demand for these programs to ensure children are prepared to learn effectively.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,20. Earlychildhood_14,38. A Good Start - Early Childhood Development Booklet_4 (sim: 0.643); 20. Earlychildhood_14 (sim: 0.620); 20. Earlychildhood_15 (sim: 0.605); 20. Earlychildhood_20 (sim: 0.596); 52. Behavior-Management-in-Dentistry-for-Children_34 (sim: 0.593),0
